cpf,data_vencimento,data_pagamento,valor_fatura,idade
791.604.835-39,2024-08-05,2024-08-12,9624,54
598.024.637-10,2024-05-27,2024-05-24,6620,80
374.590.162-25,2024-09-19,2024-10-02,8305,32
352.940.761-52,2024-05-28,2024-06-18,6285,47
386.014.275-53,2024-04-20,2024-04-23,7727,41
938.120.465-98,2024-05-10,2024-05-27,5077,80
684.309.572-00,2024-10-18,2024-10-20,6954,45
950.768.314-39,2024-06-07,2024-06-26,3878,53
056.914.738-75,2024-03-16,2024-03-16,5641,32
781.092.354-41,2024-05-05,2024-05-06,2474,45
082.647.591-49,2024-03-26,2024-03-21,5861,49
526.048.319-70,2024-07-22,2024-07-17,9304,27
256.083.497-92,2024-09-28,2024-10-01,3683,43
027.568.319-21,2024-03-28,2024-04-16,4172,46
120.948.536-24,2024-09-11,2024-09-15,1094,21
786.201.394-87,2024-09-13,2024-09-19,1180,52
853.067.492-83,2024-01-29,2024-01-29,6001,61
285.310.964-05,2024-01-20,2024-01-20,8157,72
147.390.658-00,2023-11-05,2023-11-08,836,62
208.651.439-51,2024-09-11,2024-09-06,7959,59
362.480.571-17,2024-07-15,2024-07-13,4749,67
319.058.627-68,2023-12-09,2023-12-05,8203,62
307.568.429-56,2024-10-16,2024-10-22,5678,44
187.690.235-30,2024-07-10,2024-07-29,6925,55
908.524.736-56,2023-12-04,2023-12-27,7709,43
109.742.653-06,2024-04-15,2024-04-10,3829,27
469.250.318-15,2024-04-08,2024-04-08,8131,27
830.642.157-44,2024-04-20,2024-04-24,2612,60
396.145.827-82,2023-11-03,2023-11-06,7183,60
703.291.564-70,2024-10-17,2024-10-12,9179,21
637.512.809-95,2024-03-13,2024-03-16,2092,48
235.496.871-09,2024-01-24,2024-01-25,8329,54
960.274.185-67,2024-06-07,2024-06-07,8661,49
204.176.389-22,2023-12-08,2023-12-08,8267,80
318.752.046-44,2024-04-19,2024-04-22,2902,46
054.682.931-70,2023-12-28,2023-12-29,8967,19
480.563.917-20,2024-06-19,2024-06-20,4125,39
146.382.957-46,2024-05-07,2024-05-08,6182,34
587.124.069-02,2024-09-12,2024-09-12,2272,45
425.790.638-38,2024-03-11,2024-03-27,7142,42
205.364.978-00,2024-05-01,2024-05-01,3278,49
204.583.791-23,2024-01-01,2023-12-29,2803,32
381.697.054-01,2024-07-15,2024-07-18,180,68
698.312.075-21,2024-07-11,2024-07-15,8341,39
627.430.859-83,2024-03-02,2024-03-20,9180,21
732.406.918-50,2024-01-16,2024-02-07,5279,75
367.920.814-69,2024-09-15,2024-09-17,5867,26
904.721.658-01,2023-11-21,2023-11-19,7286,58
213.746.508-62,2024-03-18,2024-03-16,990,38
726.385.104-08,2024-09-13,2024-10-01,6590,61
951.204.368-89,2024-01-06,2024-02-04,5161,68
725.089.431-50,2024-01-23,2024-01-25,7050,63
213.487.956-46,2024-06-06,2024-07-04,6550,77
493.762.081-96,2024-06-18,2024-06-18,3496,69
832.967.401-04,2024-06-01,2024-06-02,1025,37
786.503.214-53,2024-08-19,2024-08-18,4478,46
578.169.032-86,2024-03-28,2024-04-01,7290,41
107.298.563-21,2024-03-24,2024-04-05,5431,59
019.725.364-43,2024-03-24,2024-04-15,3920,46
371.028.546-17,2023-12-20,2023-12-23,3913,58
980.467.153-01,2023-11-30,2023-12-01,9715,38
930.682.154-98,2024-04-20,2024-04-28,8907,25
567.801.349-10,2024-07-12,2024-08-05,9488,23
963.158.027-02,2024-05-19,2024-06-06,5920,56
918.047.325-32,2024-01-24,2024-02-01,4319,63
497.580.231-79,2024-07-30,2024-08-05,5981,80
468.039.572-92,2024-06-14,2024-06-15,2361,75
740.853.926-38,2024-07-27,2024-07-25,6781,24
240.513.967-70,2024-10-11,2024-10-11,2288,21
514.062.789-20,2024-09-29,2024-10-02,5854,59
023.187.649-13,2024-02-29,2024-02-27,9760,73
286.071.394-87,2024-05-23,2024-05-18,3202,58
825.369.471-73,2024-03-18,2024-03-22,2110,28
706.849.352-10,2024-06-29,2024-07-24,2087,43
681.270.394-03,2024-10-24,2024-10-25,6085,23
894.256.731-28,2024-06-08,2024-06-10,8590,28
314.289.765-82,2023-12-17,2024-01-07,7882,61
135.249.867-73,2024-08-30,2024-08-28,8534,60
345.170.926-07,2024-07-09,2024-07-05,8500,63
620.174.853-90,2024-08-20,2024-08-20,5049,50
953.264.781-37,2024-07-25,2024-08-15,8652,73
183.069.742-04,2024-10-03,2024-09-30,5386,34
673.029.851-03,2024-07-08,2024-07-12,4989,25
854.397.610-39,2024-08-29,2024-09-25,1511,40
571.048.326-53,2024-04-29,2024-05-02,3178,38
054.713.982-97,2024-10-21,2024-10-18,672,73
968.742.103-78,2024-05-01,2024-04-27,8638,59
923.845.716-64,2023-12-01,2023-12-05,5069,33
857.231.906-95,2024-04-06,2024-04-09,9666,37
594.207.613-80,2024-05-13,2024-05-12,7254,19
259.168.743-91,2024-05-29,2024-06-20,6598,34
509.681.743-10,2024-10-01,2024-10-15,3319,43
768.594.230-56,2023-11-11,2023-11-08,6394,41
845.362.190-05,2024-05-02,2024-05-01,1873,60
187.245.963-37,2023-12-30,2024-01-27,2130,69
805.263.917-40,2024-09-18,2024-09-15,8761,51
385.097.614-93,2024-07-23,2024-07-22,7491,71
863.295.104-15,2024-05-11,2024-05-12,690,57
340.568.219-33,2023-11-30,2023-12-01,7092,54
597.813.064-75,2024-08-10,2024-08-11,5228,67
