cpf,data_vencimento,data_pagamento,valor_fatura,idade
192.540.683-06,2024-07-29,2024-01-06,8752,59
139.285.407-50,2024-04-10,2024-03-24,466,57
124.095.783-14,2024-08-08,2023-12-22,2847,80
560.147.829-58,2024-09-23,2024-01-01,8475,59
015.284.967-01,2024-04-11,2024-02-12,2646,63
537.896.420-29,2024-03-30,2024-03-02,7847,27
657.231.940-70,2024-01-20,2024-08-12,7593,41
487.619.520-01,2024-06-10,2024-04-10,9782,56
593.412.068-98,2024-07-02,2024-03-19,6563,51
467.109.253-07,2024-02-22,2024-06-27,9584,48
208.713.965-21,2023-12-23,2024-01-22,7017,80
754.821.960-11,2024-07-16,2023-12-09,4240,36
638.752.940-92,2024-08-04,2024-08-25,4554,46
274.108.653-26,2023-11-20,2024-10-21,7711,59
043.712.586-62,2024-05-19,2024-03-22,3519,20
902.186.537-86,2024-05-03,2024-06-17,336,57
085.149.632-60,2024-07-30,2024-09-02,9149,61
965.028.134-70,2024-08-08,2024-04-24,8315,59
679.051.483-00,2024-04-03,2024-08-14,6927,45
450.196.378-66,2024-06-12,2024-07-07,6057,28
390.412.587-79,2024-02-12,2024-06-19,368,32
175.869.430-01,2024-01-02,2024-09-22,4780,30
541.702.836-35,2024-07-11,2024-04-13,1581,69
714.926.385-28,2024-09-04,2024-10-24,7674,19
756.809.341-75,2024-04-05,2024-09-25,9632,32
765.218.094-58,2024-03-18,2023-12-12,2988,60
312.076.589-95,2024-04-11,2024-03-29,1649,52
937.560.841-75,2024-09-07,2024-02-15,1750,18
623.498.750-83,2024-01-20,2023-12-18,8109,73
074.981.523-04,2024-05-19,2024-02-28,7717,60
087.294.516-20,2023-12-07,2024-04-23,1364,28
865.043.297-29,2024-04-02,2024-02-24,9728,34
803.641.795-20,2024-08-05,2024-08-18,7411,38
102.695.378-21,2023-11-16,2024-01-06,1655,35
563.270.941-80,2024-02-07,2024-07-04,5469,20
619.382.540-15,2024-05-05,2024-10-19,4572,76
604.325.817-07,2024-01-19,2023-12-04,7158,44
734.216.850-53,2024-04-15,2024-04-20,3391,71
802.497.613-78,2024-09-16,2024-09-30,9640,79
831.659.704-75,2023-12-02,2024-10-01,5125,71
361.528.790-86,2023-12-20,2023-12-18,2295,20
180.563.792-40,2024-03-06,2024-04-22,2603,71
940.715.286-30,2023-12-09,2024-06-25,418,80
694.231.507-99,2024-05-26,2024-05-21,9702,40
941.657.083-48,2024-06-29,2023-11-03,9241,30
102.768.954-01,2024-08-25,2024-01-22,2883,50
352.619.780-68,2024-04-05,2024-08-08,4335,73
091.547.238-41,2024-02-02,2024-09-20,1764,80
738.425.690-92,2024-09-10,2024-10-14,6004,47
038.647.219-03,2024-09-20,2024-03-05,3261,20
150.348.976-01,2024-02-11,2024-02-24,3364,79
964.251.783-37,2024-05-15,2024-10-30,2066,71
286.137.504-35,2024-08-14,2024-09-19,4894,25
308.697.142-87,2024-08-08,2023-11-23,6614,22
618.792.543-28,2024-03-03,2024-10-05,1209,26
564.273.801-17,2024-09-24,2024-07-06,647,74
204.563.917-70,2024-04-02,2023-11-05,435,79
905.643.281-89,2023-11-28,2024-08-28,6223,64
150.897.423-32,2024-10-11,2024-04-05,9968,56
860.732.514-08,2024-06-03,2024-01-07,9643,51
783.926.501-40,2024-10-28,2024-03-18,853,80
528.063.194-98,2024-01-29,2024-10-30,9930,19
653.127.490-52,2024-04-22,2024-06-26,5679,69
195.786.403-66,2024-04-15,2024-05-20,5768,62
169.573.280-40,2024-02-02,2024-01-12,8794,76
951.730.826-40,2023-12-28,2023-11-21,222,49
587.943.612-82,2024-03-16,2024-06-23,2402,49
561.297.304-70,2024-02-21,2024-04-30,4180,45
637.429.085-29,2024-10-05,2024-10-07,9512,58
816.973.205-03,2023-12-04,2024-09-04,5166,49
964.857.312-37,2024-09-09,2024-04-13,7932,39
057.834.612-53,2024-04-20,2024-09-11,5664,63
498.573.602-38,2024-01-01,2023-12-08,5384,36
063.451.829-15,2024-09-04,2024-05-05,261,76
190.386.745-20,2024-09-17,2023-11-09,1263,40
679.580.341-48,2023-12-18,2023-12-04,1166,40
398.056.412-60,2024-08-29,2024-08-07,307,75
319.862.574-28,2024-06-17,2024-08-18,7936,52
637.592.184-82,2024-02-16,2024-09-23,976,75
261.830.974-03,2024-04-18,2024-04-18,9951,57
397.582.614-28,2024-07-07,2024-03-08,8201,40
470.362.518-08,2024-10-13,2024-09-25,409,40
859.760.413-10,2024-04-03,2024-05-30,3587,44
140.975.328-04,2023-11-04,2024-08-21,9084,42
420.517.693-70,2024-08-31,2024-04-17,711,64
523.679.048-47,2024-09-16,2024-06-21,3566,40
762.095.138-59,2024-05-01,2024-01-18,3343,32
028.756.134-80,2024-02-28,2024-07-01,2765,31
516.394.728-19,2024-05-10,2024-04-01,6957,67
589.314.027-32,2023-11-22,2024-06-24,7938,60
251.036.749-80,2024-09-17,2024-04-14,1771,76
249.571.063-80,2024-05-08,2024-08-03,5276,78
370.598.416-01,2024-08-20,2023-12-02,8542,72
257.894.163-73,2024-07-20,2023-11-28,1788,25
578.369.412-64,2024-06-08,2024-08-05,8855,78
459.807.621-67,2024-09-25,2024-05-01,8492,80
859.712.463-64,2024-07-28,2024-02-01,5448,61
984.237.015-14,2024-11-01,2024-07-19,2450,56
567.102.394-70,2024-10-16,2024-07-16,1014,80
165.279.843-91,2023-12-16,2024-10-27,4045,64
